especie,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,motivo_conflito,precisa_revisao,motivos_revisao,validacao,diferenca_justificada
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",True,Pendente,E,
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")",True,Pendente,E,
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Bovino,Acetato de Retinol - drágea,Drágea,g,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Bovino,Acetato de Retinol - drágea,Drágea,g,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Bovino,Acetato de Retinol - drágea,Drágea,g,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")",True,Pendente,E,
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Equino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Bovino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,SC,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Bovino,Acetato de Retinol - frasco 20 mL,Solução Oral,mL,Frasco de 20 mL,False,Suplemento Vitamínico,Oral,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Bovino,Acetato de Retinol - frasco 20 mL,Solução Injetável,mL,Frasco de 20 mL,False,Suplemento Vitamínico,IM,INTERNO(Bovino: linhas divergentes entre vias),True,Pendente,E,
Equino,Acetato de retinol; aminoácidos; metionina; cloranfenicol - tubo 3.5 g,Pomada Oftálmica,g,Tubo de 3.5 g,False,Antiobótico Cicatrizante,Ocular,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico Cicatrizante"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Acetato de retinol; aminoácidos; metionina; cloranfenicol - tubo 3.5 g,Pomada Oftálmica,g,Tubo de 3.5 g,False,Antibacteriano,Ocular,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico Cicatrizante"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Acetazolamida - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Acetazolamida - comprimido,Comprimido,mg,Comprimido,False,Diurético,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,ACH - 80 Desinfetante - bambona 5 L,Solução,L,Bombona de 5 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",True,Pendente,E,
Bovino,ACH - 80 Desinfetante - bambona 5 L,Solução Desinfetante,L,Bombona de 5 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",True,Pendente,E,
Equino,ACH - 80 Desinfetante - frasco 1 L,Solução,L,Frasco de 1 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",True,Pendente,E,
Bovino,ACH - 80 Desinfetante - frasco 1 L,Solução Desinfetante,L,Frasco de 1 L,False,Desinfetante,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Solução"" x Bovino=""Solução Desinfetante"")",True,Pendente,E,
Equino,Ácido Acetilsalicílico - Agespirin,Pó,g,Pote de 500 g,False,Anti-inflamatório Não Esteroidal (AINE),Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 500 g"" x Bovino=""Pote"")",True,Pendente,E,
Bovino,Ácido Acetilsalicílico - Agespirin,Pó,g,Pote,False,Anti-inflamatório Não Esteroidal (AINE),Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 500 g"" x Bovino=""Pote"")",True,Pendente,E,
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido de 250 mg,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - comprimido,Comprimido,mg,Comprimido,False,Hemostático,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Comprimido de 250 mg"" x Bovino=""Comprimido"")",True,Pendente,E,
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Ampola de 5 mL,False,Hemostático,IV,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Frasco,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Frasco,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Frasco,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Ácido Tranexâmico - solução injetável,Solução Injetável,mL,Frasco,False,Hemostático,IV Lenta,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 5 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Acura - frasco-ampola 25 mL,Suspensão Injetável,mL,Frasco-ampola de 25 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Acura - frasco-ampola 25 mL,Suspensão Injetável,mL,Frasco-ampola de 25 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,Intracardíaca,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,SC,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco,False,Simpaticomimético,Intracardíaca,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco,False,Simpaticomimético,SC,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Anestésico Bravet,Solução Injetável,mL,Frasco,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,Intracardíaca,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,SC,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco,False,Simpaticomimético,SC,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco,False,Simpaticomimético,Intracardíaca,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Bovino,Adrenalina - Sorolina,Solução Injetável,mL,Frasco,False,Simpaticomimético,IV,"CROSS_ESPECIE(apresentacao: Equino=""Frasco-ampola de 50 mL"" x Bovino=""Frasco"")",True,Pendente,E,
Equino,Afaste Granulado - frasco 480 g,Granulado,g,Frasco de 480 g,False,Repelente,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Granulado"" x Bovino=""Pó Granulado"")",True,Pendente,E,
Bovino,Afaste Granulado - frasco 480 g,Pó Granulado,g,Frasco de 480 g,False,Repelente,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Granulado"" x Bovino=""Pó Granulado"")",True,Pendente,E,
Equino,Agita 1 GB - sachê 100 g,Isca Granulada,g,Sachê de 100 g,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Isca Granulada"" x Bovino=""Granulado Isca"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Bovino,Agita 1 GB - sachê 100 g,Granulado Isca,g,Sachê de 100 g,False,Ectoparasiticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Isca Granulada"" x Bovino=""Granulado Isca"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Equino,Agita 10 WG - pote plástico 1 kg,Grânulos Dispersíveis em Água,kg,Pote de 1 kg,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Bovino,Agita 10 WG - pote plástico 1 kg,Pó Molhável,kg,Pote de 1 kg,False,Ectoparasiticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Equino,Agita 10 WG - pote plástico 100 g,Grânulos Dispersíveis em Água,g,Pote de 100 g,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Bovino,Agita 10 WG - pote plástico 100 g,Pó Molhável,g,Pote de 100 g,False,Ectoparasiticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Equino,Agita 10 WG - pote plástico 250 g,Grânulos Dispersíveis em Água,g,Pote de 250 g,False,Inseticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Bovino,Agita 10 WG - pote plástico 250 g,Pó Molhável,g,Pote de 250 g,False,Ectoparasiticida,Ambiental,"CROSS_ESPECIE(formaFarmaceutica: Equino=""Grânulos Dispersíveis em Água"" x Bovino=""Pó Molhável"") | CROSS_ESPECIE(classificacao: Equino=""Inseticida"" x Bovino=""Ectoparasiticida"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 100 mL,Solução Injetável,mL,Frasco-ampola de 100 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 100 mL,Solução Injetável,mL,Frasco-ampola de 100 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 100 mL,Solução Injetável,mL,Frasco-ampola de 100 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 100 mL,Solução Injetável,mL,Frasco-ampola de 100 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 250 mL,Solução Injetável,mL,Frasco-ampola de 250 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 250 mL,Solução Injetável,mL,Frasco-ampola de 250 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 250 mL,Solução Injetável,mL,Frasco-ampola de 250 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 250 mL,Solução Injetável,mL,Frasco-ampola de 250 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agroplus® - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Antiobótico,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agroplus® - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Antibacteriano,IM,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agrosil 5 Mega - frasco ampola 15 mL,Pó para Suspensão Injetável,mL,Frasco-ampola,False,Antiobótico,IM Profunda,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agrosil 5 Mega - frasco ampola 15 mL,Pó para Suspensão Injetável,mL,Frasco-ampola,False,Antibacteriano,IM Profunda,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Equino,Agrosil 6 Milhões - frasco ampola 15 mL,Pó para Suspensão Injetável,mL,Frasco-ampola,False,Antiobótico,IM Profunda,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
Bovino,Agrosil 6 Milhões - frasco ampola 15 mL,Pó para Suspensão Injetável,mL,Frasco-ampola,False,Antibacteriano,IM Profunda,"CROSS_ESPECIE(classificacao: Equino=""Antiobótico"" x Bovino=""Antibacteriano"")",True,Pendente,E,
